prompt_type,n_shots,transcript_type,concat_fewshot,concat_test,two_turns,aggregate_fewshot,balanced_accuracy
standard_cot,2,groundtruth,FALSE,FALSE,FALSE,FALSE,0.6248449773
standard_cot,4,groundtruth,FALSE,FALSE,FALSE,FALSE,0.6147168251
standard_cot,0,groundtruth,FALSE,TRUE,FALSE,FALSE,0.5487804878
standard_cot,1,groundtruth,FALSE,TRUE,FALSE,FALSE,0.6750723439
standard_cot,2,groundtruth,FALSE,TRUE,FALSE,FALSE,0.6682513435
standard_cot,4,groundtruth,FALSE,TRUE,FALSE,FALSE,0.5500206697
standard_cot,0,groundtruth,FALSE,FALSE,TRUE,FALSE,0.4952459694
standard_cot,1,groundtruth,FALSE,FALSE,TRUE,FALSE,0.5148821827
standard_cot,2,groundtruth,FALSE,FALSE,TRUE,FALSE,0.5880529144
standard_cot,4,groundtruth,FALSE,FALSE,TRUE,FALSE,0.5419594874
standard_cot,1,asr,FALSE,FALSE,FALSE,TRUE,0.5088879702
standard_cot,2,asr,FALSE,FALSE,FALSE,TRUE,0.500413394
standard_cot,4,asr,FALSE,FALSE,FALSE,TRUE,0.5126085159
standard_cot,1,asr,FALSE,TRUE,FALSE,TRUE,0.5126085159
standard_cot,2,asr,FALSE,TRUE,FALSE,TRUE,0.5126085159
standard_cot,4,asr,FALSE,TRUE,FALSE,TRUE,0.500413394
standard_cot,1,asr,TRUE,FALSE,FALSE,FALSE,0.5248036379
standard_cot,2,asr,TRUE,FALSE,FALSE,FALSE,0.4956593634
standard_cot,4,asr,TRUE,FALSE,FALSE,FALSE,0.5078544853
standard_cot,1,asr,TRUE,TRUE,FALSE,FALSE,0.511575031
standard_cot,2,asr,TRUE,TRUE,FALSE,FALSE,0.4909053328
standard_cot,4,asr,TRUE,TRUE,FALSE,FALSE,0.511575031
standard_cot,0,asr,FALSE,FALSE,FALSE,FALSE,0.5126085159
standard_cot,1,asr,FALSE,FALSE,FALSE,FALSE,0.5322447292
standard_cot,2,asr,FALSE,FALSE,FALSE,FALSE,0.5566349731
standard_cot,4,asr,FALSE,FALSE,FALSE,FALSE,0.5200496073
standard_cot,0,asr,FALSE,TRUE,FALSE,FALSE,0.500413394
standard_cot,1,asr,FALSE,TRUE,FALSE,FALSE,0.511575031
standard_cot,2,asr,FALSE,TRUE,FALSE,FALSE,0.5359652749
standard_cot,4,asr,FALSE,TRUE,FALSE,FALSE,0.5200496073
standard_cot,0,asr,FALSE,FALSE,TRUE,FALSE,0.488218272
standard_cot,1,asr,FALSE,FALSE,TRUE,FALSE,0.5210830922
standard_cot,2,asr,FALSE,FALSE,TRUE,FALSE,0.5295576685
standard_cot,4,asr,FALSE,FALSE,TRUE,FALSE,0.5417527904
comprehensive_cot,1,none,FALSE,FALSE,FALSE,TRUE,0.5393187553
comprehensive_cot,2,none,FALSE,FALSE,FALSE,TRUE,0.5393187553
comprehensive_cot,4,none,FALSE,FALSE,FALSE,TRUE,0.5201112537
comprehensive_cot,1,none,FALSE,TRUE,FALSE,TRUE,0.5409260025
comprehensive_cot,2,none,FALSE,TRUE,FALSE,TRUE,0.5663497313
comprehensive_cot,4,none,FALSE,TRUE,FALSE,TRUE,0.5944605209
comprehensive_cot,1,none,TRUE,FALSE,FALSE,FALSE,0.4673418768
comprehensive_cot,2,none,TRUE,FALSE,FALSE,FALSE,0.4737494833
comprehensive_cot,4,none,TRUE,FALSE,FALSE,FALSE,0.4913187267
comprehensive_cot,1,none,TRUE,TRUE,FALSE,FALSE,0.5436130632
comprehensive_cot,2,none,TRUE,TRUE,FALSE,FALSE,0.5961140967
comprehensive_cot,4,none,TRUE,TRUE,FALSE,FALSE,0.6448945845
comprehensive_cot,0,none,FALSE,FALSE,FALSE,FALSE,0.4927656056
comprehensive_cot,1,none,FALSE,FALSE,FALSE,FALSE,0.5283174866
comprehensive_cot,2,none,FALSE,FALSE,FALSE,FALSE,0.4394377842
comprehensive_cot,4,none,FALSE,FALSE,FALSE,FALSE,0.5194295163
comprehensive_cot,0,none,FALSE,TRUE,FALSE,FALSE,0.5646551724
comprehensive_cot,1,none,FALSE,TRUE,FALSE,FALSE,0.5839189748
comprehensive_cot,2,none,FALSE,TRUE,FALSE,FALSE,0.61575031
comprehensive_cot,4,none,FALSE,TRUE,FALSE,FALSE,0.6353865234
comprehensive_cot,0,none,FALSE,FALSE,TRUE,FALSE,0.465688301
comprehensive_cot,1,none,FALSE,FALSE,TRUE,FALSE,0.4954526664
comprehensive_cot,2,none,FALSE,FALSE,TRUE,FALSE,0.4499793303
comprehensive_cot,4,none,FALSE,FALSE,TRUE,FALSE,0.4923522117
comprehensive_cot,1,groundtruth,FALSE,FALSE,FALSE,TRUE,0.4942124845
comprehensive_cot,2,groundtruth,FALSE,FALSE,FALSE,TRUE,0.5477470029
comprehensive_cot,4,groundtruth,FALSE,FALSE,FALSE,TRUE,0.5196362133
comprehensive_cot,1,groundtruth,FALSE,TRUE,FALSE,TRUE,0.4952459694
comprehensive_cot,2,groundtruth,FALSE,TRUE,FALSE,TRUE,0.5196362133
comprehensive_cot,4,groundtruth,FALSE,TRUE,FALSE,TRUE,0.5525010335
comprehensive_cot,1,groundtruth,TRUE,FALSE,FALSE,FALSE,0.628358826
comprehensive_cot,2,groundtruth,TRUE,FALSE,FALSE,FALSE,0.5992145515
comprehensive_cot,4,groundtruth,TRUE,FALSE,FALSE,FALSE,0.5971475816
comprehensive_cot,1,groundtruth,TRUE,TRUE,FALSE,FALSE,0.5663497313
comprehensive_cot,2,groundtruth,TRUE,TRUE,FALSE,FALSE,0.5971475816
comprehensive_cot,4,groundtruth,TRUE,TRUE,FALSE,FALSE,0.6533691608
comprehensive_cot,0,groundtruth,FALSE,FALSE,FALSE,FALSE,0.512195122
comprehensive_cot,1,groundtruth,FALSE,FALSE,FALSE,FALSE,0.5992145515
comprehensive_cot,2,groundtruth,FALSE,FALSE,FALSE,FALSE,0.5801984291
comprehensive_cot,4,groundtruth,FALSE,FALSE,FALSE,FALSE,0.6347664324
comprehensive_cot,0,groundtruth,FALSE,TRUE,FALSE,FALSE,0.5037205457
comprehensive_cot,1,groundtruth,FALSE,TRUE,FALSE,FALSE,0.5981810666
comprehensive_cot,2,groundtruth,FALSE,TRUE,FALSE,FALSE,0.6130632493
comprehensive_cot,4,groundtruth,FALSE,TRUE,FALSE,FALSE,0.662877222
comprehensive_cot,0,groundtruth,FALSE,FALSE,TRUE,FALSE,0.5074410914
comprehensive_cot,1,groundtruth,FALSE,FALSE,TRUE,FALSE,0.6114096734
comprehensive_cot,2,groundtruth,FALSE,FALSE,TRUE,FALSE,0.5196362133
comprehensive_cot,4,groundtruth,FALSE,FALSE,TRUE,FALSE,0.5196362133
comprehensive_cot,1,asr,FALSE,FALSE,FALSE,TRUE,0.4807771807
comprehensive_cot,2,asr,FALSE,FALSE,FALSE,TRUE,0.5051674246
comprehensive_cot,4,asr,FALSE,FALSE,FALSE,TRUE,0.5051674246
comprehensive_cot,1,asr,FALSE,TRUE,FALSE,TRUE,0.5380322447
comprehensive_cot,2,asr,FALSE,TRUE,FALSE,TRUE,0.5258371228
comprehensive_cot,4,asr,FALSE,TRUE,FALSE,TRUE,0.5136420008
comprehensive_cot,1,asr,TRUE,FALSE,FALSE,FALSE,0.5210830922
comprehensive_cot,2,asr,TRUE,FALSE,FALSE,FALSE,0.488218272
comprehensive_cot,4,asr,TRUE,FALSE,FALSE,FALSE,0.5163290616
comprehensive_cot,1,asr,TRUE,TRUE,FALSE,FALSE,0.5248036379
comprehensive_cot,2,asr,TRUE,TRUE,FALSE,FALSE,0.5163290616
comprehensive_cot,4,asr,TRUE,TRUE,FALSE,FALSE,0.4956593634
comprehensive_cot,0,asr,FALSE,FALSE,FALSE,FALSE,0.4929723026
comprehensive_cot,1,asr,FALSE,FALSE,FALSE,FALSE,0.5210830922
comprehensive_cot,2,asr,FALSE,FALSE,FALSE,FALSE,0.5369987598
comprehensive_cot,4,asr,FALSE,FALSE,FALSE,FALSE,0.5126085159
comprehensive_cot,0,asr,FALSE,TRUE,FALSE,FALSE,0.5173625465
comprehensive_cot,1,asr,FALSE,TRUE,FALSE,FALSE,0.4993799091
comprehensive_cot,2,asr,FALSE,TRUE,FALSE,FALSE,0.5285241835
comprehensive_cot,4,asr,FALSE,TRUE,FALSE,FALSE,0.5407193055
comprehensive_cot,0,asr,FALSE,FALSE,TRUE,FALSE,0.5173625465
comprehensive_cot,1,asr,FALSE,FALSE,TRUE,FALSE,0.5332782141
comprehensive_cot,2,asr,FALSE,FALSE,TRUE,FALSE,0.5088879702
comprehensive_cot,4,asr,FALSE,FALSE,TRUE,FALSE,0.5173625465
structured,1,none,FALSE,FALSE,FALSE,TRUE,0.5558408216
structured,2,none,FALSE,FALSE,FALSE,TRUE,0.5670731707
structured,4,none,FALSE,FALSE,FALSE,TRUE,0.6202691337
structured,1,none,FALSE,TRUE,FALSE,TRUE,0.6648305085
structured,2,none,FALSE,TRUE,FALSE,TRUE,0.5680033072
structured,4,none,FALSE,TRUE,FALSE,TRUE,0.6486151302
structured,1,none,TRUE,FALSE,FALSE,FALSE,0.5055626872
structured,2,none,TRUE,FALSE,FALSE,FALSE,0.4774700289
structured,4,none,TRUE,FALSE,FALSE,FALSE,0.5035138487
structured,1,none,TRUE,TRUE,FALSE,FALSE,0.5839189748
structured,2,none,TRUE,TRUE,FALSE,FALSE,0.6560562216
structured,4,none,TRUE,TRUE,FALSE,FALSE,0.605208764
structured,0,none,FALSE,FALSE,FALSE,FALSE,0.499586606
structured,1,none,FALSE,FALSE,FALSE,FALSE,0.5851591567
structured,2,none,FALSE,FALSE,FALSE,FALSE,0.4712691195
structured,4,none,FALSE,FALSE,FALSE,FALSE,0.488218272
structured,0,none,FALSE,TRUE,FALSE,FALSE,0.6019016122
structured,1,none,FALSE,TRUE,FALSE,FALSE,0.5659363373
structured,2,none,FALSE,TRUE,FALSE,FALSE,0.5845390657
structured,4,none,FALSE,TRUE,FALSE,FALSE,0.5909466722
structured,0,none,FALSE,FALSE,TRUE,FALSE,0.4900785449
structured,1,none,FALSE,FALSE,TRUE,FALSE,0.5601488218
structured,2,none,FALSE,FALSE,TRUE,FALSE,0.5051674246
structured,4,none,FALSE,FALSE,TRUE,FALSE,0.4929723026
structured,1,groundtruth,FALSE,FALSE,FALSE,TRUE,0.5440264572
structured,2,groundtruth,FALSE,FALSE,FALSE,TRUE,0.5365853659
structured,4,groundtruth,FALSE,FALSE,FALSE,TRUE,0.5318313353
structured,1,groundtruth,FALSE,TRUE,FALSE,TRUE,0.6134766432
structured,2,groundtruth,FALSE,TRUE,FALSE,TRUE,0.5477470029
structured,4,groundtruth,FALSE,TRUE,FALSE,TRUE,0.5684167011
structured,1,groundtruth,TRUE,FALSE,FALSE,FALSE,0.5385964912
structured,2,groundtruth,TRUE,FALSE,FALSE,FALSE,0.6473684211
structured,4,groundtruth,TRUE,FALSE,FALSE,FALSE,0.604588673
structured,1,groundtruth,TRUE,TRUE,FALSE,FALSE,0.5785448532
structured,2,groundtruth,TRUE,TRUE,FALSE,FALSE,0.6083092187
structured,4,groundtruth,TRUE,TRUE,FALSE,FALSE,0.6014882183
structured,0,groundtruth,FALSE,FALSE,FALSE,FALSE,0.5243902439
structured,1,groundtruth,FALSE,FALSE,FALSE,FALSE,0.5649717514
structured,2,groundtruth,FALSE,FALSE,FALSE,FALSE,0.651302191
structured,4,groundtruth,FALSE,FALSE,FALSE,FALSE,0.6072757338
structured,0,groundtruth,FALSE,TRUE,FALSE,FALSE,0.5318313353
structured,1,groundtruth,FALSE,TRUE,FALSE,FALSE,0.6564696155
structured,2,groundtruth,FALSE,TRUE,FALSE,FALSE,0.6422075238
structured,4,groundtruth,FALSE,TRUE,FALSE,FALSE,0.627945432
structured,0,groundtruth,FALSE,FALSE,TRUE,FALSE,0.5159156676
structured,1,groundtruth,FALSE,FALSE,TRUE,FALSE,0.5830508475
structured,2,groundtruth,FALSE,FALSE,TRUE,FALSE,0.5281107896
structured,4,groundtruth,FALSE,FALSE,TRUE,FALSE,0.5403059115
structured,1,asr,FALSE,FALSE,FALSE,TRUE,0.5088879702
structured,2,asr,FALSE,FALSE,FALSE,TRUE,0.5173625465
structured,4,asr,FALSE,FALSE,FALSE,TRUE,0.5088879702
structured,1,asr,FALSE,TRUE,FALSE,TRUE,0.5417527904
structured,2,asr,FALSE,TRUE,FALSE,TRUE,0.5210830922
structured,4,asr,FALSE,TRUE,FALSE,TRUE,0.5210830922
structured,1,asr,TRUE,FALSE,FALSE,FALSE,0.5088879702
structured,2,asr,TRUE,FALSE,FALSE,FALSE,0.5126085159
structured,4,asr,TRUE,FALSE,FALSE,FALSE,0.5285241835
structured,1,asr,TRUE,TRUE,FALSE,FALSE,0.5163290616
structured,2,asr,TRUE,TRUE,FALSE,FALSE,0.5285241835
structured,4,asr,TRUE,TRUE,FALSE,FALSE,0.523770153
structured,0,asr,FALSE,FALSE,FALSE,FALSE,0.5073591253
structured,1,asr,FALSE,FALSE,FALSE,FALSE,0.4834642414
structured,2,asr,FALSE,FALSE,FALSE,FALSE,0.5274906986
structured,4,asr,FALSE,FALSE,FALSE,FALSE,0.5152955767
structured,0,asr,FALSE,TRUE,FALSE,FALSE,0.5126085159
structured,1,asr,FALSE,TRUE,FALSE,FALSE,0.4993799091
structured,2,asr,FALSE,TRUE,FALSE,FALSE,0.511575031
structured,4,asr,FALSE,TRUE,FALSE,FALSE,0.5031004547
structured,0,asr,FALSE,FALSE,TRUE,FALSE,0.5173625465
structured,1,asr,FALSE,FALSE,TRUE,FALSE,0.4936921783
structured,2,asr,FALSE,FALSE,TRUE,FALSE,0.488218272
structured,4,asr,FALSE,FALSE,TRUE,FALSE,0.5210830922
